season,team,sp_overall,sp_offense,sp_defense,sp_st
2015,Ohio State,29.5,41.3,13.5,1.8
2015,Alabama,29.0,37.7,9.1,0.4
2015,Ole Miss,27.0,43.1,17.4,1.4
2015,Clemson,24.0,41.9,17.2,-0.7
2015,Florida State,23.2,38.0,15.0,0.2
2015,Stanford,22.8,44.5,24.5,2.8
2015,Oklahoma,22.7,41.7,19.3,0.3
2015,Notre Dame,22.4,44.1,21.2,-0.4
2015,North Carolina,20.0,43.3,25.3,2.0
2015,Michigan,19.7,35.2,16.2,0.8
2015,LSU,19.7,41.3,21.8,0.2
2015,Baylor,19.5,45.1,24.1,-1.5
2015,Tennessee,19.5,35.7,17.8,1.6
2015,Arkansas,19.2,46.6,28.0,0.5
2015,TCU,19.0,40.8,21.7,-0.1
2015,UCLA,18.6,42.4,22.6,-1.2
2015,USC,16.8,38.6,23.3,1.5
2015,Georgia,16.8,28.6,10.7,-1.1
2015,Oregon,15.9,46.7,30.4,-0.4
2015,Michigan State,15.6,35.7,20.6,0.4
2015,Mississippi State,15.1,40.2,23.8,-1.3
2015,Wisconsin,15.1,27.0,12.4,0.5
2015,Auburn,14.6,36.1,23.1,1.7
2015,Texas A&M,14.1,31.9,18.8,1.0
2015,Florida,13.8,26.7,15.8,2.8
2015,Louisville,13.2,33.4,20.0,-0.2
2015,West Virginia,12.9,34.4,19.9,-1.6
2015,Navy,12.1,38.9,27.8,1.0
2015,California,12.1,41.3,29.5,0.3
2015,Boise State,11.8,32.2,20.2,-0.2
2015,Virginia Tech,11.4,30.8,19.7,0.4
2015,Penn State,11.3,28.4,19.0,1.9
2015,Nebraska,11.1,35.4,25.0,0.8
2015,Pittsburgh,11.1,33.9,22.4,-0.5
2015,Utah,11.0,28.8,19.8,2.0
2015,Miami,11.0,34.9,25.8,1.8
2015,Western Kentucky,10.8,40.1,29.8,0.5
2015,Arizona State,10.2,34.9,27.2,2.5
2015,Oklahoma State,9.9,37.7,28.8,1.1
2015,Washington,9.7,30.1,20.8,0.4
2015,NC State,9.6,36.2,24.7,-1.8
2015,Iowa,9.3,30.1,21.0,0.2
2015,Georgia Tech,9.0,33.1,25.4,1.4
2015,BYU,8.7,31.9,24.6,1.4
2015,Louisiana Tech,8.3,35.6,27.4,0.1
2015,Minnesota,8.1,28.1,22.4,2.4
2015,San Diego State,8.0,28.6,22.6,2.0
2015,Memphis,8.0,35.1,30.4,3.3
2015,App State,7.9,33.2,25.1,-0.2
2015,Toledo,7.7,30.4,21.8,-0.9
2015,Bowling Green,7.5,39.4,32.1,0.2
2015,Georgia Southern,7.3,32.8,26.5,1.0
2015,Houston,6.2,33.6,28.4,1.0
2015,Temple,6.0,26.4,20.6,0.2
2015,Cincinnati,5.3,34.4,28.2,-0.8
2015,Western Michigan,4.9,36.7,32.2,0.4
2015,Boston College,4.7,18.0,12.5,-0.8
2015,Arizona,4.7,38.0,31.6,-1.7
2015,Air Force,4.7,32.6,29.2,1.3
2015,Texas Tech,4.5,44.8,40.3,0.0
2015,Washington State,4.2,35.8,29.4,-2.2
2015,Texas,3.7,30.7,27.0,0.0
2015,South Florida,3.6,30.1,26.8,0.3
2015,Marshall,3.5,25.4,20.3,-1.5
2015,Duke,3.4,27.0,21.5,-2.0
2015,Missouri,3.4,16.7,12.4,-0.9
2015,South Carolina,3.4,31.3,28.6,0.8
2015,Illinois,2.7,22.7,20.2,0.2
2015,Kansas State,2.6,32.2,30.8,1.2
2015,Southern Miss,1.4,31.3,31.1,1.2
2015,Virginia,1.4,33.0,30.8,-0.8
2015,Colorado State,0.5,29.4,30.2,1.3
2015,Arkansas State,0.5,30.9,28.4,-2.0
2015,Indiana,0.4,37.5,35.9,-1.2
2015,Northwestern,0.2,16.8,15.0,-1.5
2015,Utah State,-0.1,24.1,22.9,-1.4
2015,Kentucky,-0.3,26.8,27.2,0.1
2015,Iowa State,-0.3,31.2,33.7,2.2
2015,East Carolina,-0.5,28.6,27.9,-1.2
2015,Ohio,-0.5,24.5,26.6,1.7
2015,Akron,-0.8,24.8,25.9,0.3
